文件名,是否颜色偏差,是否低光,是否模糊
test_p20_.jpg,True,True,False
test_p9_.jpg,True,True,False
test_p21_.jpg,False,False,False
test_p266_.jpg,False,True,False
test_p113_.jpg,True,False,False
test_p596_.jpg,True,False,False
test_p109_.jpg,False,True,True
test_p349_.jpg,False,True,False
test_p26_.jpg,True,False,False
test_p27_.jpg,True,False,False
test_p276_.jpg,False,True,True
test_p256_.jpg,True,False,False
test_p50_.jpg,True,False,True
test_p112_.jpg,False,False,False
test_p28_.jpg,True,False,False
test_p12_.jpg,True,False,False
test_p404_.jpg,True,False,False
test_p598_.jpg,True,False,False
test_p0_.jpg,True,True,False
test_p258_.jpg,True,False,False
test_p110_.jpg,False,False,False
test_p52_.jpg,True,False,True
test_p13_.jpg,False,False,False
test_p350_.jpg,True,False,False
test_p22_.jpg,False,False,False
test_p479_.jpg,False,False,False
test_p403_.jpg,True,False,False
test_p6_.jpg,False,False,True
392_img_.png,True,True,False
208_img_.png,False,False,True
209_img_.png,False,False,False
166_img_.png,True,False,False
837.png,False,False,False
573_img_.png,True,False,True
12324.png,False,True,False
786_img_.png,False,False,True
72_img_.png,False,False,False
15113.png,False,False,True
1742.png,False,False,True
97_img_.png,True,False,False
906_img_.png,True,False,True
907_img_.png,True,False,True
183_img_.png,False,False,False
444_img_.png,True,False,True
111_img_.png,True,False,True
471_img_.png,True,False,True
616_img_.png,True,False,False
78_img_.png,True,True,False
125_img_.png,False,False,False
343_img_.png,True,False,False
342_img_.png,True,False,False
124_img_.png,True,False,False
12290.png,False,True,True
579_img_.png,True,False,True
578_img_.png,True,False,False
873_img_.png,True,False,False
872_img_.png,True,False,False
290_img_.png,False,True,False
202_img_.png,True,False,False
559.png,False,True,True
203_img_.png,False,False,False
46_img_.png,True,True,False
274_img_.png,False,False,False
139_img_.png,True,False,True
702_img_.png,False,False,True
703_img_.png,True,False,True
12336.png,False,True,True
316_img_.png,True,False,False
360_img_.png,True,False,False
107_img_.png,True,False,True
12445.png,False,False,False
851_img_.png,False,False,False
268_img_.png,False,False,False
